1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,0,0.01,0.03,0,0.01,0,0,0.74,0.01,0,0,0,0.01,0,0,0.15,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0
0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.82,0.01,0,0,0,0,0,0,0,0,0,0.03,0,0,0.05,0,0.03,0,0,0,0,0,0,0,0,0
0,0.01,0.05,0.03,0,0.03,0.01,0,0,0,0,0,0,0.13,0,0,0.01,0.01,0,0,0,0.19,0,0.01,0.01,0.01,0,0,0,0,0,0,0.48,0.01,0,0,0,0,0,0,0,0
0,0,0.02,0.07,0,0.37,0.01,0,0,0,0,0,0,0.24,0,0,0.02,0.03,0,0.04,0,0.09,0,0.01,0.03,0,0,0.01,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0
0,0.01,0.03,0.06,0,0.06,0.01,0,0,0,0,0,0,0.65,0,0,0.02,0.02,0,0.01,0,0.05,0,0.02,0.01,0,0,0.01,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0
0,0,0.04,0.09,0,0.11,0.03,0,0,0,0,0,0.01,0.48,0,0,0.02,0.01,0,0.02,0,0.1,0,0.02,0,0.01,0,0.01,0,0,0.04,0,0.01,0,0,0,0,0,0,0,0,0
0,0.02,0.01,0,0,0.02,0.04,0,0,0,0,0,0,0.02,0,0,0.47,0.01,0,0.02,0,0,0,0.01,0,0,0,0.06,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0
0,0.34,0.07,0,0,0.1,0.02,0,0,0,0,0,0,0.12,0,0,0,0.01,0,0.07,0,0.02,0,0.04,0,0.01,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.01,0,0,0.34,0,0,0,0,0,0,0,0.18,0,0,0,0.01,0,0.02,0,0.1,0,0.01,0,0,0,0.01,0.01,0.29,0.01,0,0,0,0,0,0,0,0,0,0,0
0,0,0.08,0.01,0,0.15,0.28,0,0,0,0,0,0,0.09,0,0,0,0.01,0,0.03,0,0.01,0,0.17,0,0.01,0.1,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.06,0.01,0,0.43,0.04,0,0,0,0,0,0,0.16,0,0,0.01,0.01,0,0.07,0,0.08,0,0.02,0,0,0,0.01,0.09,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0
0,0,0.07,0.01,0,0.44,0.08,0,0,0,0,0,0.01,0.11,0,0,0.01,0.01,0,0.03,0,0.03,0,0.06,0,0,0,0.01,0.12,0,0.01,0,0,0,0,0,0,0,0,0,0,0
0,0,0.03,0.01,0,0.14,0.09,0,0,0,0,0,0.01,0.06,0,0,0,0.01,0,0.01,0,0.08,0,0.09,0.2,0,0,0.01,0,0,0.01,0.24,0,0,0,0,0,0,0,0,0,0
0,0.01,0.02,0,0,0.49,0.07,0,0,0,0,0,0,0.06,0,0,0,0.01,0,0.04,0,0.01,0,0.08,0.01,0,0,0.15,0,0,0.03,0,0,0.01,0,0,0,0,0,0,0,0
0,0.01,0.02,0,0,0.38,0.11,0,0,0,0,0,0.01,0.19,0,0,0.01,0.02,0,0.06,0,0.03,0,0.06,0.02,0,0,0.04,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.01,0.58,0,0,0,0,0,0,0.02,0,0,0,0.36,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.4,0,0,0.42,0,0,0,0,0,0,0.11,0,0,0.03,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.03,0,0,0,0,0.8,0,0,0.04,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0.05,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0
0,0.05,0.02,0,0,0.04,0,0,0,0.06,0,0,0.01,0.36,0,0,0.01,0.01,0,0.01,0,0.01,0,0.29,0.04,0,0,0.05,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0
0,0.01,0.01,0,0,0.06,0,0,0,0.05,0,0,0.04,0.22,0,0,0,0.01,0,0,0.01,0,0,0,0.41,0,0,0.08,0.01,0,0.01,0,0,0,0,0.06,0,0,0,0,0,0
