calcGradient value, -3.16,  -3.19,  -3.22,  -3.25,  -3.29,  -3.32,  -3.35,  -3.39,  -3.42,  -3.46,  -3.49,  -3.53,  -3.56,  -3.60,  -3.64,  -3.67,  -3.71,  -3.75,  -3.78,  -3.82,  -3.86
Tmp Outs, -1.74,  -1.72,  -2.11,  -2.26,  -2.25,  -2.13,  -2.04,  -2.10,  -1.89,  -2.60,  -1.83,  -2.07,  -1.98,  -1.47,  -1.49,  -1.16,  -1.66,  -1.99,  -1.42,  -1.17,  -0.85
