Batch, Epoch, L2Reg, LearningRate, L1KernelSize, Accuracy, Precision, Recall, F1 Score 
16.0, 15.0, 5.0E-4, 0.02, 5.0, 0.8889, 0.9000, 0.8889, 0.8882, 
16.0, 15.0, 5.0E-4, 0.01, 5.0, 0.7778, 0.7778, 0.7778, 0.7778, 
16.0, 15.0, 5.0E-4, 0.005, 5.0, 0.5556, 0.5545, 0.5556, 0.5415, 
16.0, 15.0, 5.0E-4, 0.001, 5.0, 0.4444, 0.5000, 0.4444, 0.3874, 
16.0, 20.0, 5.0E-4, 0.02, 5.0, 0.8889, 0.9000, 0.8889, 0.8882, 
16.0, 20.0, 5.0E-4, 0.01, 5.0, 0.7778, 0.7778, 0.7778, 0.7778, 
16.0, 20.0, 5.0E-4, 0.005, 5.0, 0.6296, 0.6248, 0.6296, 0.6222, 
16.0, 20.0, 5.0E-4, 0.001, 5.0, 0.4444, 0.4515, 0.4444, 0.3889, 
16.0, 25.0, 5.0E-4, 0.02, 5.0, 0.8889, 0.9000, 0.8889, 0.8882, 
16.0, 25.0, 5.0E-4, 0.01, 5.0, 0.8148, 0.8176, 0.8148, 0.8145, 
16.0, 25.0, 5.0E-4, 0.005, 5.0, 0.6296, 0.6248, 0.6296, 0.6222, 
16.0, 25.0, 5.0E-4, 0.001, 5.0, 0.4444, 0.4515, 0.4444, 0.3889, 
16.0, 30.0, 5.0E-4, 0.02, 5.0, 0.8889, 0.9000, 0.8889, 0.8882, 
16.0, 30.0, 5.0E-4, 0.01, 5.0, 0.8148, 0.8176, 0.8148, 0.8145, 
16.0, 30.0, 5.0E-4, 0.005, 5.0, 0.6667, 0.6639, 0.6667, 0.6639, 
16.0, 30.0, 5.0E-4, 0.001, 5.0, 0.4444, 0.4515, 0.4444, 0.3889, 
