Batch, Epoch, L2Reg, LearningRate, L1KernelSize, Accuracy, Precision, Recall, F1 Score 
16.0, 31.0, 0.001, 0.1, 3.0, 0.8519, 0.8974, 0.8519, 0.8531, 
16.0, 32.0, 0.001, 0.001, 6.0, 0.4074, 0.7867, 0.4074, 0.3098, 
16.0, 34.0, 5.0E-4, 0.1, 6.0, 0.6296, 0.8246, 0.6296, 0.6245, 
16.0, 33.0, 3.0000000000000003E-4, 0.01, 3.0, 0.8889, 0.9167, 0.8889, 0.8857, 
16.0, 21.0, 4.0E-4, 0.001, 2.0, 0.4815, 0.5571, 0.4815, 0.5884, 
16.0, 15.0, 4.0E-4, 0.1, 3.0, 0.8519, 0.8974, 0.8519, 0.8561, 
16.0, 29.0, 3.0000000000000003E-4, 0.01, 5.0, 0.8519, 0.8974, 0.8519, 0.8442, 
16.0, 17.0, 8.0E-4, 0.01, 3.0, 0.8889, 0.9167, 0.8889, 0.8857, 
16.0, 26.0, 8.0E-4, 0.1, 2.0, 0.5185, 0.6310, 0.5185, 0.6333, 
16.0, 15.0, 5.0E-4, 0.001, 5.0, 0.5926, 0.7769, 0.5926, 0.5310, 
16.0, 20.0, 9.000000000000001E-4, 0.01, 5.0, 0.8519, 0.8974, 0.8519, 0.8442, 
16.0, 18.0, 0.0, 0.1, 2.0, 0.7037, 0.8065, 0.7037, 0.6951, 
16.0, 23.0, 8.0E-4, 0.01, 3.0, 0.9630, 0.9667, 0.9630, 0.9628, 
16.0, 24.0, 9.000000000000001E-4, 0.1, 4.0, 0.7778, 0.8439, 0.7778, 0.7623, 
16.0, 33.0, 5.0E-4, 0.1, 4.0, 0.7778, 0.8667, 0.7778, 0.7833, 
16.0, 31.0, 1.0E-4, 0.1, 3.0, 0.6667, 0.7765, 0.6667, 0.6593, 
16.0, 28.0, 0.001, 0.1, 6.0, 0.7407, 0.8542, 0.7407, 0.7448, 
16.0, 15.0, 3.0000000000000003E-4, 0.01, 6.0, 0.8148, 0.8244, 0.8148, 0.8130, 
16.0, 26.0, 7.0E-4, 0.1, 2.0, 0.7037, 0.8125, 0.7037, 0.6812, 
16.0, 26.0, 0.0, 0.01, 2.0, 0.8889, 0.9061, 0.8889, 0.8825, 
16.0, 22.0, 0.0, 0.1, 3.0, 0.7407, 0.8542, 0.7407, 0.7448, 
16.0, 17.0, 7.0E-4, 0.1, 4.0, 0.6296, 0.7917, 0.6296, 0.5634, 
16.0, 22.0, 4.0E-4, 0.001, 6.0, 0.4815, 0.7971, 0.4815, 0.4299, 
16.0, 25.0, 2.0E-4, 0.01, 2.0, 0.8889, 0.9061, 0.8889, 0.8825, 
16.0, 20.0, 9.000000000000001E-4, 0.1, 3.0, 0.8148, 0.8810, 0.8148, 0.8127, 
16.0, 32.0, 1.0E-4, 0.01, 4.0, 0.9259, 0.9394, 0.9259, 0.9250, 
16.0, 31.0, 1.0E-4, 0.1, 2.0, 0.5556, 0.8095, 0.5556, 0.5263, 
16.0, 24.0, 6.000000000000001E-4, 0.01, 4.0, 0.8148, 0.8641, 0.8148, 0.7936, 
16.0, 22.0, 9.000000000000001E-4, 0.1, 3.0, 0.8148, 0.8810, 0.8148, 0.8192, 
16.0, 20.0, 4.0E-4, 0.1, 4.0, 0.7407, 0.8296, 0.7407, 0.7130, 
