Batch, Epoch, L2Reg, LearningRate, L1KernelSize, Accuracy, Precision, Recall, F1 Score 
16.0, 22.0, 3.0E-4, 0.01, 3.0, 0.9259, 0.9394, 0.9259, 0.9250, 
16.0, 22.0, 1.0E-4, 0.011, 3.0, 0.8519, 0.8974, 0.8519, 0.8442, 
16.0, 22.0, 1.0E-4, 0.012, 3.0, 0.8889, 0.9167, 0.8889, 0.8857, 
16.0, 22.0, 8.0E-4, 0.014000000000000002, 3.0, 0.8889, 0.9167, 0.8889, 0.8857, 
16.0, 22.0, 1.0E-4, 0.005, 3.0, 0.8148, 0.8202, 0.8148, 0.8047, 
16.0, 22.0, 1.0E-4, 0.009000000000000001, 3.0, 0.9259, 0.9394, 0.9259, 0.9250, 
16.0, 22.0, 3.0E-4, 0.005, 3.0, 0.8148, 0.8202, 0.8148, 0.8047, 
16.0, 22.0, 3.0E-4, 0.011, 3.0, 0.9259, 0.9394, 0.9259, 0.9250, 
16.0, 22.0, 8.0E-4, 0.008, 3.0, 0.8519, 0.8833, 0.8519, 0.8396, 
16.0, 22.0, 8.0E-4, 0.005, 3.0, 0.8148, 0.8202, 0.8148, 0.8047, 
16.0, 22.0, 1.0E-4, 0.01, 3.0, 0.8519, 0.8974, 0.8519, 0.8442, 
16.0, 22.0, 1.0E-4, 0.011, 3.0, 0.9259, 0.9394, 0.9259, 0.9250, 
16.0, 22.0, 8.0E-4, 0.012, 3.0, 0.8519, 0.8974, 0.8519, 0.8442, 
16.0, 22.0, 3.0E-4, 0.013000000000000001, 3.0, 0.8148, 0.8810, 0.8148, 0.8127, 
16.0, 22.0, 1.0E-4, 0.012, 3.0, 0.9259, 0.9394, 0.9259, 0.9250, 
16.0, 22.0, 3.0E-4, 0.011, 3.0, 0.8889, 0.9167, 0.8889, 0.8857, 
