Batch, Epoch, L2Reg, LearningRate, L1KernelSize, Accuracy, Precision, Recall, F1 Score 
16.0, 20.0, 5.0E-4, 0.005, 5.0, 0.8148, 0.8177, 0.8148, 0.8093, 
16.0, 20.0, 5.0E-4, 0.001, 2.0, 0.4815, 0.5571, 0.4815, 0.5884, 
16.0, 20.0, 5.0E-4, 0.001, 3.0, 0.4815, 0.6889, 0.4815, 0.4284, 
16.0, 20.0, 5.0E-4, 0.001, 4.0, 0.6296, 0.7667, 0.6296, 0.5607, 
16.0, 20.0, 5.0E-4, 0.001, 5.0, 0.5926, 0.7495, 0.5926, 0.5311, 
16.0, 20.0, 2.0E-4, 0.02, 2.0, 0.8519, 0.8974, 0.8519, 0.8531, 
16.0, 20.0, 2.0E-4, 0.02, 3.0, 0.8519, 0.8974, 0.8519, 0.8531, 
16.0, 20.0, 2.0E-4, 0.02, 4.0, 0.8889, 0.9167, 0.8889, 0.8857, 
16.0, 20.0, 2.0E-4, 0.02, 5.0, 0.7778, 0.8667, 0.7778, 0.7798, 
16.0, 20.0, 2.0E-4, 0.01, 2.0, 0.8889, 0.9061, 0.8889, 0.8825, 
16.0, 20.0, 2.0E-4, 0.01, 3.0, 0.9259, 0.9394, 0.9259, 0.9250, 
16.0, 20.0, 2.0E-4, 0.01, 4.0, 0.9259, 0.9333, 0.9259, 0.9232, 
16.0, 20.0, 2.0E-4, 0.01, 5.0, 0.8519, 0.8974, 0.8519, 0.8442, 
16.0, 20.0, 2.0E-4, 0.005, 2.0, 0.8889, 0.8880, 0.8889, 0.8866, 
16.0, 20.0, 2.0E-4, 0.005, 3.0, 0.8148, 0.8202, 0.8148, 0.8047, 
16.0, 20.0, 2.0E-4, 0.005, 4.0, 0.8519, 0.8561, 0.8519, 0.8490, 
16.0, 20.0, 2.0E-4, 0.005, 5.0, 0.8519, 0.8524, 0.8519, 0.8465, 
16.0, 20.0, 2.0E-4, 0.001, 2.0, 0.4815, 0.5571, 0.4815, 0.5884, 
16.0, 20.0, 2.0E-4, 0.001, 3.0, 0.5556, 0.7196, 0.5556, 0.5271, 
16.0, 20.0, 2.0E-4, 0.001, 4.0, 0.6667, 0.7778, 0.6667, 0.6241, 
16.0, 20.0, 2.0E-4, 0.001, 5.0, 0.6296, 0.7667, 0.6296, 0.5607, 
16.0, 20.0, 1.0E-4, 0.02, 2.0, 0.8889, 0.9167, 0.8889, 0.8911, 
16.0, 20.0, 1.0E-4, 0.02, 3.0, 0.8889, 0.9167, 0.8889, 0.8857, 
16.0, 20.0, 1.0E-4, 0.02, 4.0, 0.8519, 0.8974, 0.8519, 0.8531, 
16.0, 20.0, 1.0E-4, 0.02, 5.0, 0.8889, 0.9167, 0.8889, 0.8857, 
16.0, 20.0, 1.0E-4, 0.01, 2.0, 0.8889, 0.9061, 0.8889, 0.8825, 
16.0, 20.0, 1.0E-4, 0.01, 3.0, 0.9259, 0.9394, 0.9259, 0.9250, 
16.0, 20.0, 1.0E-4, 0.01, 4.0, 0.9259, 0.9333, 0.9259, 0.9232, 
16.0, 20.0, 1.0E-4, 0.01, 5.0, 0.8519, 0.8833, 0.8519, 0.8396, 
16.0, 20.0, 1.0E-4, 0.005, 2.0, 0.8889, 0.8880, 0.8889, 0.8866, 
16.0, 20.0, 1.0E-4, 0.005, 3.0, 0.8148, 0.8202, 0.8148, 0.8047, 
16.0, 20.0, 1.0E-4, 0.005, 4.0, 0.8519, 0.8561, 0.8519, 0.8490, 
16.0, 20.0, 1.0E-4, 0.005, 5.0, 0.8519, 0.8524, 0.8519, 0.8465, 
16.0, 20.0, 1.0E-4, 0.001, 2.0, 0.5185, 0.5855, 0.5185, 0.6387, 
16.0, 20.0, 1.0E-4, 0.001, 3.0, 0.6296, 0.7593, 0.6296, 0.5938, 
16.0, 20.0, 1.0E-4, 0.001, 4.0, 0.6667, 0.7778, 0.6667, 0.6241, 
16.0, 20.0, 1.0E-4, 0.001, 5.0, 0.6296, 0.7667, 0.6296, 0.5607, 
16.0, 25.0, 5.0E-4, 0.02, 2.0, 0.8148, 0.8810, 0.8148, 0.8127, 
16.0, 25.0, 5.0E-4, 0.02, 3.0, 0.8889, 0.9167, 0.8889, 0.8857, 
16.0, 25.0, 5.0E-4, 0.02, 4.0, 0.8519, 0.8974, 0.8519, 0.8442, 
16.0, 25.0, 5.0E-4, 0.02, 5.0, 0.8519, 0.8974, 0.8519, 0.8442, 
16.0, 25.0, 5.0E-4, 0.01, 2.0, 0.8889, 0.9061, 0.8889, 0.8825, 
16.0, 25.0, 5.0E-4, 0.01, 3.0, 0.8519, 0.8974, 0.8519, 0.8442, 
16.0, 25.0, 5.0E-4, 0.01, 4.0, 0.9630, 0.9667, 0.9630, 0.9628, 
16.0, 25.0, 5.0E-4, 0.01, 5.0, 0.8519, 0.8833, 0.8519, 0.8396, 
16.0, 25.0, 5.0E-4, 0.005, 2.0, 0.9259, 0.9333, 0.9259, 0.9232, 
16.0, 25.0, 5.0E-4, 0.005, 3.0, 0.8148, 0.8202, 0.8148, 0.8047, 
16.0, 25.0, 5.0E-4, 0.005, 4.0, 0.8519, 0.8561, 0.8519, 0.8490, 
16.0, 25.0, 5.0E-4, 0.005, 5.0, 0.8519, 0.8524, 0.8519, 0.8465, 
16.0, 25.0, 5.0E-4, 0.001, 2.0, 0.4815, 0.5571, 0.4815, 0.5884, 
16.0, 25.0, 5.0E-4, 0.001, 3.0, 0.5185, 0.7118, 0.5185, 0.4655, 
16.0, 25.0, 5.0E-4, 0.001, 4.0, 0.6296, 0.7667, 0.6296, 0.5607, 
16.0, 25.0, 5.0E-4, 0.001, 5.0, 0.5926, 0.7495, 0.5926, 0.5311, 
16.0, 25.0, 2.0E-4, 0.02, 2.0, 0.8889, 0.9167, 0.8889, 0.8911, 
16.0, 25.0, 2.0E-4, 0.02, 3.0, 0.8889, 0.9167, 0.8889, 0.8857, 
16.0, 25.0, 2.0E-4, 0.02, 4.0, 0.8519, 0.8833, 0.8519, 0.8396, 
16.0, 25.0, 2.0E-4, 0.02, 5.0, 0.8519, 0.8974, 0.8519, 0.8442, 
16.0, 25.0, 2.0E-4, 0.01, 2.0, 0.8889, 0.9061, 0.8889, 0.8825, 
16.0, 25.0, 2.0E-4, 0.01, 3.0, 0.9259, 0.9394, 0.9259, 0.9250, 
16.0, 25.0, 2.0E-4, 0.01, 4.0, 0.8519, 0.8833, 0.8519, 0.8396, 
16.0, 25.0, 2.0E-4, 0.01, 5.0, 0.8519, 0.8833, 0.8519, 0.8396, 
16.0, 25.0, 2.0E-4, 0.005, 2.0, 0.8889, 0.8880, 0.8889, 0.8866, 
16.0, 25.0, 2.0E-4, 0.005, 3.0, 0.8148, 0.8202, 0.8148, 0.8047, 
16.0, 25.0, 2.0E-4, 0.005, 4.0, 0.8519, 0.8561, 0.8519, 0.8490, 
16.0, 25.0, 2.0E-4, 0.005, 5.0, 0.8519, 0.8524, 0.8519, 0.8465, 
16.0, 25.0, 2.0E-4, 0.001, 2.0, 0.4815, 0.5571, 0.4815, 0.5884, 
16.0, 25.0, 2.0E-4, 0.001, 3.0, 0.6296, 0.7593, 0.6296, 0.5938, 
16.0, 25.0, 2.0E-4, 0.001, 4.0, 0.6667, 0.7778, 0.6667, 0.6241, 
16.0, 25.0, 2.0E-4, 0.001, 5.0, 0.6296, 0.7667, 0.6296, 0.5607, 
16.0, 25.0, 1.0E-4, 0.02, 2.0, 0.8519, 0.8974, 0.8519, 0.8531, 
16.0, 25.0, 1.0E-4, 0.02, 3.0, 0.8519, 0.8974, 0.8519, 0.8531, 
16.0, 25.0, 1.0E-4, 0.02, 4.0, 0.8519, 0.8974, 0.8519, 0.8442, 
16.0, 25.0, 1.0E-4, 0.02, 5.0, 0.8519, 0.8974, 0.8519, 0.8442, 
16.0, 25.0, 1.0E-4, 0.01, 2.0, 0.8889, 0.9061, 0.8889, 0.8825, 
16.0, 25.0, 1.0E-4, 0.01, 3.0, 0.8519, 0.8974, 0.8519, 0.8442, 
16.0, 25.0, 1.0E-4, 0.01, 4.0, 0.9259, 0.9394, 0.9259, 0.9250, 
16.0, 25.0, 1.0E-4, 0.01, 5.0, 0.8519, 0.8974, 0.8519, 0.8442, 
16.0, 25.0, 1.0E-4, 0.005, 2.0, 0.8889, 0.8880, 0.8889, 0.8866, 
16.0, 25.0, 1.0E-4, 0.005, 3.0, 0.8519, 0.8833, 0.8519, 0.8396, 
16.0, 25.0, 1.0E-4, 0.005, 4.0, 0.8148, 0.8177, 0.8148, 0.8093, 
16.0, 25.0, 1.0E-4, 0.005, 5.0, 0.8889, 0.8917, 0.8889, 0.8885, 
16.0, 25.0, 1.0E-4, 0.001, 2.0, 0.5185, 0.5855, 0.5185, 0.6387, 
16.0, 25.0, 1.0E-4, 0.001, 3.0, 0.7037, 0.7965, 0.7037, 0.6531, 
16.0, 25.0, 1.0E-4, 0.001, 4.0, 0.6667, 0.7778, 0.6667, 0.6241, 
16.0, 25.0, 1.0E-4, 0.001, 5.0, 0.6296, 0.7667, 0.6296, 0.5607, 
16.0, 30.0, 5.0E-4, 0.02, 2.0, 0.8148, 0.8810, 0.8148, 0.8127, 
16.0, 30.0, 5.0E-4, 0.02, 3.0, 0.8889, 0.9167, 0.8889, 0.8857, 
16.0, 30.0, 5.0E-4, 0.02, 4.0, 0.8519, 0.8833, 0.8519, 0.8396, 
16.0, 30.0, 5.0E-4, 0.02, 5.0, 0.8519, 0.8974, 0.8519, 0.8531, 
16.0, 30.0, 5.0E-4, 0.01, 2.0, 0.8889, 0.9061, 0.8889, 0.8825, 
16.0, 30.0, 5.0E-4, 0.01, 3.0, 0.8519, 0.8974, 0.8519, 0.8442, 
16.0, 30.0, 5.0E-4, 0.01, 4.0, 0.8519, 0.8974, 0.8519, 0.8442, 
16.0, 30.0, 5.0E-4, 0.01, 5.0, 0.8519, 0.8974, 0.8519, 0.8442, 
16.0, 30.0, 5.0E-4, 0.005, 2.0, 0.9259, 0.9333, 0.9259, 0.9232, 
16.0, 30.0, 5.0E-4, 0.005, 3.0, 0.8148, 0.8202, 0.8148, 0.8047, 
16.0, 30.0, 5.0E-4, 0.005, 4.0, 0.8519, 0.8561, 0.8519, 0.8490, 
16.0, 30.0, 5.0E-4, 0.005, 5.0, 0.8889, 0.8917, 0.8889, 0.8885, 
16.0, 30.0, 5.0E-4, 0.001, 2.0, 0.4815, 0.5571, 0.4815, 0.5884, 
16.0, 30.0, 5.0E-4, 0.001, 3.0, 0.5556, 0.7196, 0.5556, 0.5271, 
16.0, 30.0, 5.0E-4, 0.001, 4.0, 0.6667, 0.7778, 0.6667, 0.6241, 
16.0, 30.0, 5.0E-4, 0.001, 5.0, 0.6296, 0.7667, 0.6296, 0.5607, 
16.0, 30.0, 2.0E-4, 0.02, 2.0, 0.8519, 0.8974, 0.8519, 0.8531, 
16.0, 30.0, 2.0E-4, 0.02, 3.0, 0.8889, 0.9167, 0.8889, 0.8857, 
16.0, 30.0, 2.0E-4, 0.02, 4.0, 0.8519, 0.8833, 0.8519, 0.8396, 
16.0, 30.0, 2.0E-4, 0.02, 5.0, 0.8889, 0.9167, 0.8889, 0.8857, 
16.0, 30.0, 2.0E-4, 0.01, 2.0, 0.8889, 0.9061, 0.8889, 0.8825, 
16.0, 30.0, 2.0E-4, 0.01, 3.0, 0.8519, 0.8974, 0.8519, 0.8442, 
16.0, 30.0, 2.0E-4, 0.01, 4.0, 0.8519, 0.8974, 0.8519, 0.8442, 
16.0, 30.0, 2.0E-4, 0.01, 5.0, 0.8519, 0.8974, 0.8519, 0.8442, 
16.0, 30.0, 2.0E-4, 0.005, 2.0, 0.9259, 0.9333, 0.9259, 0.9232, 
16.0, 30.0, 2.0E-4, 0.005, 3.0, 0.8148, 0.8202, 0.8148, 0.8047, 
16.0, 30.0, 2.0E-4, 0.005, 4.0, 0.8519, 0.8561, 0.8519, 0.8490, 
16.0, 30.0, 2.0E-4, 0.005, 5.0, 0.8889, 0.8917, 0.8889, 0.8885, 
16.0, 30.0, 2.0E-4, 0.001, 2.0, 0.5556, 0.6111, 0.5556, 0.6852, 
16.0, 30.0, 2.0E-4, 0.001, 3.0, 0.6667, 0.7778, 0.6667, 0.6241, 
16.0, 30.0, 2.0E-4, 0.001, 4.0, 0.7037, 0.7965, 0.7037, 0.6531, 
16.0, 30.0, 2.0E-4, 0.001, 5.0, 0.6296, 0.7667, 0.6296, 0.5607, 
16.0, 30.0, 1.0E-4, 0.02, 2.0, 0.8519, 0.8974, 0.8519, 0.8531, 
16.0, 30.0, 1.0E-4, 0.02, 3.0, 0.8519, 0.8974, 0.8519, 0.8531, 
16.0, 30.0, 1.0E-4, 0.02, 4.0, 0.8519, 0.8974, 0.8519, 0.8442, 
16.0, 30.0, 1.0E-4, 0.02, 5.0, 0.8889, 0.9167, 0.8889, 0.8857, 
16.0, 30.0, 1.0E-4, 0.01, 2.0, 0.9259, 0.9394, 0.9259, 0.9250, 
16.0, 30.0, 1.0E-4, 0.01, 3.0, 0.8889, 0.9167, 0.8889, 0.8857, 
16.0, 30.0, 1.0E-4, 0.01, 4.0, 0.8889, 0.9167, 0.8889, 0.8857, 
16.0, 30.0, 1.0E-4, 0.01, 5.0, 0.8519, 0.8974, 0.8519, 0.8442, 
16.0, 30.0, 1.0E-4, 0.005, 2.0, 0.9259, 0.9333, 0.9259, 0.9232, 
16.0, 30.0, 1.0E-4, 0.005, 3.0, 0.8519, 0.8833, 0.8519, 0.8396, 
16.0, 30.0, 1.0E-4, 0.005, 4.0, 0.8148, 0.8177, 0.8148, 0.8093, 
16.0, 30.0, 1.0E-4, 0.005, 5.0, 0.8889, 0.8880, 0.8889, 0.8866, 
16.0, 30.0, 1.0E-4, 0.001, 2.0, 0.5185, 0.5855, 0.5185, 0.6387, 
16.0, 30.0, 1.0E-4, 0.001, 3.0, 0.7037, 0.7965, 0.7037, 0.6531, 
16.0, 30.0, 1.0E-4, 0.001, 4.0, 0.7037, 0.7965, 0.7037, 0.6531, 
16.0, 30.0, 1.0E-4, 0.001, 5.0, 0.6296, 0.7667, 0.6296, 0.5607, 
